Record ID,035__a,Collection name,Status,Link to record,Image Url,Image Path
266152,magnes_cubanc_53_13_00205987,"Ladies' Relief Society Records, 1872-2007",fetched,https://digicoll.lib.berkeley.edu/record/266152?ln=en,https://digicoll.lib.berkeley.edu/record/266152/files/brk00015559_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T18:13:09.960349+00:00/26/266152/brk00015559_24a_k.jpg
266153,magnes_cubanc_53_13_00205985,"Ladies' Relief Society Records, 1872-2007",fetched,https://digicoll.lib.berkeley.edu/record/266153?ln=en,https://digicoll.lib.berkeley.edu/record/266153/files/brk00015561_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T18:13:09.960349+00:00/26/266153/brk00015561_24a_k.jpg
266154,magnes_cubanc_53_13_00205986,"Ladies' Relief Society Records, 1872-2007",fetched,https://digicoll.lib.berkeley.edu/record/266154?ln=en,https://digicoll.lib.berkeley.edu/record/266154/files/brk00015560_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T18:13:09.960349+00:00/26/266154/brk00015560_24a_k.jpg
